temperature,city,pression,date
280.17,Paris,1010,23-01-2025 14:09
281.01,London,998,23-01-2025 14:09
266.85,Washington,1040,23-01-2025 14:09
280.04,Paris,1013,23-01-2025 11:02
279.92,London,1002,23-01-2025 11:02
267.85,Washington,1042,23-01-2025 11:02
280.04,Paris,1013,23-01-2025 10:52
279.64,London,1002,23-01-2025 10:52
267.85,Washington,1042,23-01-2025 10:52
278.29,Paris,1012,23-01-2025 09:44
278.62,London,1003,23-01-2025 09:44
267.81,Washington,1042,23-01-2025 09:44
278.24,Paris,1012,23-01-2025 09:43
278.62,London,1003,23-01-2025 09:43
267.81,Washington,1042,23-01-2025 09:43
278.24,Paris,1012,23-01-2025 09:42
278.62,London,1003,23-01-2025 09:42
267.81,Washington,1042,23-01-2025 09:42
278.24,Paris,1012,23-01-2025 09:41
278.64,London,1003,23-01-2025 09:41
267.81,Washington,1042,23-01-2025 09:41
278.24,Paris,1012,23-01-2025 09:40
278.62,London,1003,23-01-2025 09:40
267.81,Washington,1042,23-01-2025 09:40
278.29,Paris,1012,23-01-2025 09:39
278.62,London,1003,23-01-2025 09:39
267.81,Washington,1042,23-01-2025 09:39
278.26,Paris,1012,23-01-2025 09:38
278.62,London,1003,23-01-2025 09:38
267.81,Washington,1042,23-01-2025 09:38
278.26,Paris,1012,23-01-2025 09:37
278.62,London,1003,23-01-2025 09:37
267.81,Washington,1042,23-01-2025 09:37
278.24,Paris,1012,23-01-2025 09:36
278.62,London,1003,23-01-2025 09:36
267.81,Washington,1042,23-01-2025 09:36
278.24,Paris,1012,23-01-2025 09:35
278.62,London,1003,23-01-2025 09:35
267.81,Washington,1042,23-01-2025 09:35
278.24,Paris,1012,23-01-2025 09:34
278.62,London,1003,23-01-2025 09:34
267.84,Washington,1042,23-01-2025 09:34
278.24,Paris,1012,23-01-2025 09:33
278.38,London,1003,23-01-2025 09:33
267.81,Washington,1042,23-01-2025 09:33
278.24,Paris,1012,23-01-2025 09:32
278.38,London,1003,23-01-2025 09:32
267.84,Washington,1042,23-01-2025 09:32
278.17,Paris,1012,23-01-2025 09:31
278.38,London,1003,23-01-2025 09:31
267.84,Washington,1042,23-01-2025 09:31
278.17,Paris,1012,23-01-2025 09:30
278.38,London,1003,23-01-2025 09:30
267.84,Washington,1042,23-01-2025 09:30
278.17,Paris,1012,23-01-2025 09:29
278.38,London,1003,23-01-2025 09:29
267.84,Washington,1042,23-01-2025 09:29
278.24,Paris,1012,23-01-2025 09:28
278.35,London,1003,23-01-2025 09:28
267.84,Washington,1042,23-01-2025 09:28
278.24,Paris,1012,23-01-2025 09:27
278.35,London,1003,23-01-2025 09:27
267.84,Washington,1042,23-01-2025 09:27
278.24,Paris,1012,23-01-2025 09:26
278.35,London,1003,23-01-2025 09:26
267.84,Washington,1042,23-01-2025 09:26
278.24,Paris,1012,23-01-2025 09:25
278.35,London,1003,23-01-2025 09:25
267.84,Washington,1042,23-01-2025 09:25
278.19,Paris,1012,23-01-2025 09:24
278.25,London,1003,23-01-2025 09:24
267.84,Washington,1042,23-01-2025 09:24
278.19,Paris,1012,23-01-2025 09:23
278.25,London,1003,23-01-2025 09:23
267.84,Washington,1042,23-01-2025 09:23
277.66,Paris,1012,23-01-2025 09:22
278.35,London,1003,23-01-2025 09:22
268.07,Washington,1042,23-01-2025 09:22
277.66,Paris,1012,23-01-2025 09:21
278.35,London,1003,23-01-2025 09:21
268.07,Washington,1042,23-01-2025 09:21
277.66,Paris,1012,23-01-2025 09:20
278.25,London,1003,23-01-2025 09:20
268.07,Washington,1042,23-01-2025 09:20
277.66,Paris,1012,23-01-2025 09:19
278.25,London,1003,23-01-2025 09:19
268.07,Washington,1042,23-01-2025 09:19
277.66,Paris,1012,23-01-2025 09:18
278.25,London,1003,23-01-2025 09:18
268.07,Washington,1042,23-01-2025 09:18
277.66,Paris,1012,23-01-2025 09:17
278.25,London,1003,23-01-2025 09:17
268.07,Washington,1042,23-01-2025 09:17
277.66,Paris,1012,23-01-2025 09:16
278.25,London,1003,23-01-2025 09:16
268.07,Washington,1042,23-01-2025 09:16
277.66,Paris,1012,23-01-2025 09:15
278.25,London,1003,23-01-2025 09:15
268.07,Washington,1042,23-01-2025 09:15
277.66,Paris,1012,23-01-2025 09:14
278.25,London,1003,23-01-2025 09:14
268.07,Washington,1042,23-01-2025 09:14
277.66,Paris,1012,23-01-2025 09:13
278.25,London,1003,23-01-2025 09:13
268.07,Washington,1042,23-01-2025 09:13
277.66,Paris,1012,23-01-2025 09:12
278.25,London,1003,23-01-2025 09:12
268.07,Washington,1042,23-01-2025 09:12
277.66,Paris,1012,23-01-2025 09:11
278.25,London,1003,23-01-2025 09:11
268.07,Washington,1042,23-01-2025 09:11
277.43,Paris,1012,23-01-2025 09:10
277.86,London,1003,23-01-2025 09:10
268.04,Washington,1042,23-01-2025 09:10
277.43,Paris,1012,23-01-2025 09:09
277.97,London,1003,23-01-2025 09:09
268.07,Washington,1042,23-01-2025 09:09
277.43,Paris,1012,23-01-2025 09:08
277.97,London,1003,23-01-2025 09:08
268.07,Washington,1042,23-01-2025 09:08
277.43,Paris,1012,23-01-2025 09:07
277.97,London,1003,23-01-2025 09:07
268.07,Washington,1042,23-01-2025 09:07
