temperature,city,pression,date
280.17,Paris,1010,23-01-2025 14:09
281.01,London,998,23-01-2025 14:09
266.85,Washington,1040,23-01-2025 14:09
280.04,Paris,1013,23-01-2025 11:02
279.92,London,1002,23-01-2025 11:02
267.85,Washington,1042,23-01-2025 11:02
280.04,Paris,1013,23-01-2025 10:52
279.64,London,1002,23-01-2025 10:52
267.85,Washington,1042,23-01-2025 10:52
278.29,Paris,1012,23-01-2025 09:44
278.62,London,1003,23-01-2025 09:44
267.81,Washington,1042,23-01-2025 09:44
278.24,Paris,1012,23-01-2025 09:43
278.62,London,1003,23-01-2025 09:43
267.81,Washington,1042,23-01-2025 09:43
278.24,Paris,1012,23-01-2025 09:42
278.62,London,1003,23-01-2025 09:42
267.81,Washington,1042,23-01-2025 09:42
278.24,Paris,1012,23-01-2025 09:41
278.64,London,1003,23-01-2025 09:41
267.81,Washington,1042,23-01-2025 09:41
278.24,Paris,1012,23-01-2025 09:40
278.62,London,1003,23-01-2025 09:40
267.81,Washington,1042,23-01-2025 09:40
278.29,Paris,1012,23-01-2025 09:39
278.62,London,1003,23-01-2025 09:39
267.81,Washington,1042,23-01-2025 09:39
278.26,Paris,1012,23-01-2025 09:38
278.62,London,1003,23-01-2025 09:38
267.81,Washington,1042,23-01-2025 09:38
278.26,Paris,1012,23-01-2025 09:37
278.62,London,1003,23-01-2025 09:37
267.81,Washington,1042,23-01-2025 09:37
278.24,Paris,1012,23-01-2025 09:36
278.62,London,1003,23-01-2025 09:36
267.81,Washington,1042,23-01-2025 09:36
278.24,Paris,1012,23-01-2025 09:35
278.62,London,1003,23-01-2025 09:35
267.81,Washington,1042,23-01-2025 09:35
278.24,Paris,1012,23-01-2025 09:34
278.62,London,1003,23-01-2025 09:34
267.84,Washington,1042,23-01-2025 09:34
278.24,Paris,1012,23-01-2025 09:33
278.38,London,1003,23-01-2025 09:33
267.81,Washington,1042,23-01-2025 09:33
278.24,Paris,1012,23-01-2025 09:32
278.38,London,1003,23-01-2025 09:32
267.84,Washington,1042,23-01-2025 09:32
278.17,Paris,1012,23-01-2025 09:31
278.38,London,1003,23-01-2025 09:31
267.84,Washington,1042,23-01-2025 09:31
278.17,Paris,1012,23-01-2025 09:30
278.38,London,1003,23-01-2025 09:30
267.84,Washington,1042,23-01-2025 09:30
278.17,Paris,1012,23-01-2025 09:29
278.38,London,1003,23-01-2025 09:29
267.84,Washington,1042,23-01-2025 09:29
